SMILES,PCE
CC1=C2C(C(N1CC(CCCCCCCCCC)CCCCCCCC)=O)=C(C3=CC=C(C4=CC=C(C5=C(CCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CCCCCC)=C(C8=CC=C(C9=CC=C(C)S9)S8)S7)C%10=NSN=C%106)S5)S4)S3)N(CC(CCCCCCCC)CCCCCCCCCC)C2=O,0.45
CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(C(C=C(CCCCCC)C(CCCCCC)=C5)=C5C4=O)=O)=C(C)S3)S6)C6=C2OCC(CCCC)CC,0.45
O=C1C2=C(C=C(CCCCCC)C(CCCCCC)=C2)C(C3=C(C)SC(C4=CC5=C(C(OCC(CCCC)CC)=C(C=C(C)S6)C6=C5OCC(CCCC)CC)S4)=C31)=O,0.45
CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(/C=C/C)S3)C4=NSN=C24)S1,0.46
CC(S1)=CC=C1C2=CC3=C(C(C(N(CC(CCCC)CCCCCC)C4=O)=CC(C5=CC=C(S5)C6=CC7=C(OC[C@@H](CCCCCC)CCCC)C8=C(C=C(C)S8)C(OCC(CCCCCC)CCCC)=C7S6)=C9)=C9C(OCC(CCCCCC)CCCC)=N3)C4=C2,0.46
CC1=CC(C(C#CC2=CC=C(CCCCCCCCCCCCCCCC)C=C2)=C(SC(C)=C3)C3=C4C#CC5=CC=C(CCCCCCCCCCCCCCCC)C=C5)=C4S1,0.47
CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1,0.47
CC1=CC2=C(C(C3=CC=C(SCC(CCCCCC)CCCCCCCC)C=C3)=C(C=C(C4=C(CCCCCC)C=C(C5=C(F)C(F)=C(C6=CC(CCCCCC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(SCC(CCCCCC)CCCCCCCC)C=C9)S1,0.48
CC1=CC(/C=C/C2=CC=C(/C=C(C(OCCCCCCCC)=O)/C#N)S2)=C(C3=CC=C(C(C=CC(C)=C4)=C4C5(CCCCCCCC)CCCCCCCC)C5=C3)S1,0.48
CC1=CC(CCCCCC)=C(C2=CC=C(C3=C(CCCCCC)C=C(C)S3)S2)S1,0.5
CC1=C2C(C(N(C(CCCCCCCC)CCCCCCCC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)O1,0.5
O=C(N1CC(CCCC)CC)/C(C2=C1C=C(C)S2)=C3C(N(CC(CC)CCCC)C4=C/3SC(C5=CC6=C(OCC(CCCC)CC)C7=C(C=C(C)S7)C(OCC(CCCC)CC)=C6S5)=C4)=O,0.51
CC1=CC2=C(C(C3=CC(CCCCCC)=C(C4=C(CCCCCC)C=C(CCCCCC)S4)S3)=C(C=C(C5=C(F)C(F)=C(C)C6=NSN=C65)S7)C7=C2C8=CC(CCCCCC)=C(C9=C(CCCCCC)C=C(CCCCCC)S9)S8)S1,0.51
CC1=CC(CCCCCCCCCCCC)=C(/C=C/C2=C(CCCCCCCCCCCC)C=C(C)S2)S1,0.53
CC1=CC2=C(OCC(CCCC)CC)C3=C(C=C(C4=C(CCCCCCCCCCCC)C(C#N)=C(C5=C(C#N)C(CCCCCCCCCCCC)=C(C)S5)S4)S3)C(OCC(CCCC)CC)=C2S1,0.55
CC1=CC(CCC(CC)CCCCC)=C(C2=CC=C(C3=C(CCC(CCCCC)CC)C=C(C4=CC=C(C5=C(N=C(C6=CC=C(OCCC(CCCCC)CC)C=C6)C(C7=CC=C(OCCC(CC)CCCCC)C=C7)=N8)C8=C(C9=CC=C(C)S9)C=C5)S4)S3)S2)S1,0.56
O=C1/C(C2=CC=C(C(S3)=CC(CCCCCCCCCC)=C3C(O4)=C(CCCCCCCCCC)C(C4=C5)=CC6=C5C(CCCCCCCCCC)=C(C7=C(CCCCCCCCCC)C=C(C)S7)O6)C=C2N1CC(CCCCCCCC)CCCCCCCCCC)=C8C(N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C9=C/8C=CC(C)=C9)=O,0.59
CC1=CC(CCCCCCCCCCCC)=C(C2=NC(SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C5C(N(CC(CCCCCCCC)CCCCCC)C(/C5=C6C(SC(C)=C7)=C7N(CC(CCCCCC)CCCCCCCC)C\6=O)=O)=C4)S3)=N8)=C8S2)S1,0.6
CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5C(C6=CC=C(CC(CCCCCCCC)CCCCCC)S6)=C2C7=CC=C(CC(CCCCCC)CCCCCCCC)S7)S1,0.6
CC1=CC(CCCCCC)=C(C2=CC=C(C3=C(CCCCCC)C=C(C)S3)S2)S1,0.6
CC1=CC(N(C2=CC=C(N(C3=CC=C(OCC(CCCCCC)CCCC)C=C3)C4=CC=C(OCC(CCCCCC)CCCC)C=C4)C=C2)C5=C6C=CC(C7=CC=C(C8=C(N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N%11)C%11=C(C%12=CC=C(C)S%12)C%13=NSN=C%138)S7)=C5)=C6C=C1,0.61
