,SMILES,PCE
23,CCCCCCCCC1=C(C2=CC=C(/C=C3/SC(=S)N(CCCCCC)C3=O)S2)CC(C2=CC3=C(S2)C2=C(C4=CC=C(CC(CCCCCCCC)CCCCCCCC)S4)C4=C(C5=C(C=C(C6=CC(CCCCCCCC)=C(C7=CC=C(/C=C8/SC(=S)N(CCCCCC)C8=O)S7)S6)S5)S4)C(C4=CC=C(CC(CCCCCCCC)CCCCCCCC)S4)=C2S3)=C1,11.79
24,CCCCCCCCOC(=O)/C(C#N)=C/C1=CC(CCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC5=C(S4)C(C4=CC=C(CCCCCCCC)S4)=C4C=C(C6=CC(CCCCCCCC)=C(C7=CC=C(C8=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)OCCCCCCCC)S8)S7)S6)SC4=C5C4=CC=C(CCCCCCCC)S4)S3)S2)S1,11.73
25,CCCCC(CC)COC1=CC(C2=CC=C(C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(/C=C6/SC(=S)NC6=O)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)S2)=C(OCC(CC)CCCC)C=C1C1=CC=C(C2=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C4=C(C=C(/C=C5\SC(=S)NC5=O)S4)C(C4=CC=C(CC(CC)CCCC)S4)=C3S2)S1,11.5
26,CCCCCC(CC)CC1=C(/C=C2\SC(=S)N(CCC)C2=O)SC(C2=NC3=C(N=C(C4=CC(CC(CC)CCCC)=C(C5=CC6=C(S5)C(C5=CC=C(C(CC)CCCC)S5)=C5C=C(C7=C(CC(C)C)C=C(C8=NC9=C(N=C(C%10=CC(CC(CC)CCCC)=C(/C=C%11\SC(=S)N(CCCC)C%11=O)S%10)S9)S8)S7)SC5=C6C5=CC=C(C(CC)CCCC)S5)S4)S3)S2)=C1,11.5
27,CCCCCCCCC1=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC5=C(S4)C(C4=C(F)C=C(CC(CC)CCCC)S4)=C4C=C(C6=CC(CCCCCCCC)=C(C7=CC=C(C8=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)CC(CC)CCCC)S8)S7)S6)SC4=C5C4=CC(F)=C(CC(CC)CCCC)S4)S3)S2)SC(/C=C(\C#N)C(=O)CC(CC)CCCC)=C1,11.33
28,CCCCCCC1=C(SC2=C1SC(C3=C(CCCCCC)C=C(/C=C4C(F)C(C(CC5=O)=O)=C5C(F)=C/4)S3)=C2)C(S6)=CC7=C6C(C8=CC=C(CC(CCCCCC)CCCCCCCC)S8)=C(C=C(C9=C(CCCCCC)C%10=C(C=C(C%11=C(CCCCCC)C=C(/C=C%12C(F)C(C(CC%13=O)=O)=C%13C(F)=C/%12)S%11)S%10)S9)S%14)C%14=C7C%15=CC=C(CC(CCCCCC)CCCCCCCC)S%15,11.3
29,S=C(N(CCCC)C/1=O)SC1=C\C(S2)=CC3=C2C(C4=CC=C(CC(CC)CCCC)S4)=C(C=C(C5=CC6=C(C(C7=CC=C(CC(CC)CCCC)S7)=C(C=C(C8=CC9=C(C(C%10=CC=C(CC(CC)CCCC)S%10)=C(C=C(/C=C%11C(N(CCCC)C(S/%11)=S)=O)S%12)C%12=C9C%13=CC=C(CC(CC)CCCC)S%13)S8)S%14)C%14=C6C%15=CC=C(CC(CC)CCCC)S%15)S5)S%16)C%16=C3C%17=CC=C(CC(CC)CCCC)S%17,11.24
30,CCCCC(CC)CC1=C(C2=CC(CC(CC)CCCC)=C(C3=CC(CC(CC)CCCC)=C(C4=C(F)C(Cl)=C(C5=C(CC(CC)CCCC)C=C(C6=C(CC(CC)CCCC)C=C(C7=C(CC(CC)CCCC)C=C(/C=C8\SC(=C(C#N)C#N)N(CC)C8=O)S7)S6)S5)S4)S3)S2)SC(/C=C2\SC(=C(C#N)C#N)N(CC)C2=O)=C1,11.19
31,CCCCC(CC)CC(S1)=CC=C1C2=C(C=C(C3=C(CCCCCCCC)C=C(C4=C(CCCCCCCC)C=C(C5=CC=C(/C=C(C(OCC(CCCC)CC)=O)\C#N)S5)S4)S3)S6)C6=C(C7=CC=C(CC(CC)CCCC)S7)C8=C2SC(C9=C(CCCCCCCC)C=C(C%10=C(CCCCCCCC)C=C(C%11=CC=C(/C=C(C(OCC(CCCC)CC)=O)\C#N)S%11)S%10)S9)=C8,11.11
32,O=C1C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C(C3=C(C4=CC=C(/C=C5SC(N(CC)C\5=O)=S)S4)SC(C(S6)=CC=C6C7=CC8=C(C9=CC=C(SCC(CC)CCCC)S9)C%10=C(C=C(C%11=CC=C(C%12=C%13C(C(C%14=CSC=C%14C%13=O)=O)=C(C%15=CC=C(/C=C%16SC(N(CC)C\%16=O)=S)S%15)S%12)S%11)S%10)C(C%17=CC=C(SCC(CC)CCCC)S%17)=C8S7)=C31)=O,10.9
33,[H]C1=C(CC(CC)CCCC)SC(C2=C3C=C(C4=CC(CCCCCC)=C(C5=CC(CCCCCC)=C(C6=CC=C(/C=C7\SC(=S)N(CCCCCC)C7=O)S6)S5)S4)SC3=C(C3=CC([H])=C(CC(CC)CCCCC)S3)C3=C2SC(C2=CC(CCCCCC)=C(C4=CC(CCCCCC)=C(C5=CC=C(/C=C6\SC(=S)N(C)C6=O)S5)S4)S2)=C3)=C1,10.9
34,CCCCCCC1=C(/C=C2/SC(=S)NC2=O)SC(C2=C(CCCCCC)C3=C(C=C(C4=CC5=C(C6=CC(CCCCCC)=C(CC(CC)CCC)S6)C6=C(C=C(C7=CC8=C(S7)C(CCCCC)=C(C7=CC(CCCCC)=C(/C=C9/SC(=S)N(CCCCCC)C9=O)S7)S8)S6)C(C6=CC(CCCCCC)=C(CC(CC)CCC)S6)=C5S4)S3)S2)=C1.O,10.8
35,CCCCCCC1=C(CC(CC)CCCC)SC(C2=C3C=C(C4=CC(CCCC)=C(C5=CC(CCCCCC)=C(C6=CC=C(/C=C7/SC(=S)N(CCCCCC)C7=O)S6)S5)S4)SC3=C(C3=CC(CCCCCC)=C(CC(CC)CCC)S3)C3=C2SC(C2=CC(CCCCCC)=C(C4=CC(CCCC)=C(C5=CC=C(/C=C/SC(=S)NCCCCC)S5)S4)S2)=C3)=C1,10.67
36,[H]C1=C(C2=C3C=C(C4=CC(CCCCCCCC)=C(C5=CC=C(C6=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)CC(CC)CCCC)S6)S5)S4)SC3=C(C3=CC=C(CC(CC)CCCC)S3)C3=C2SC(C2=CC(CCCCCCCC)=C(C4=CC=C(C5=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)CC(CC)CCCC)S5)S4)S2)=C3)SC(CC(CC)CCCC)=C1,10.64
37,S=C(N(CC)C/1=O)SC1=C/C2=CC(CCCCCCCC)=C(C3=CC=C(C4=C(CCCCCCCC)C=C(C5SC(C(SCC(CC)CCCC)=C(C=C(C(S6)=CC(CCCCCCCC)=C6C7=CC=C(S7)C(S8)=C(CCCCCCCC)C=C8/C=C(S9)/C(N(CC)C9=S)=O)S%10)C%10=C%11SCC(CC)CCCC)=C%11C5)S4)S3)S2,10.53
38,CCCCCCCCCCCCSC1=CC=C(C2=C3C=C(C4=CC(CCCCCCCC)=C(C5=CC=C(C6=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)OC(CC)CCCC)S6)S5)S4)SC3=C(C3=CC=C(SCCCCCCCCCCCC)S3)C3=C2SC(C2=CC(CCCCCCCC)=C(C4=CC=C(C5=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)OC(CC)CCCC)S5)S4)S2)=C3)S1,10.5
39,CCCCCCC1=C(SC2=C1SC(C3=C(CCCCCC)C=C(/C=C4C(F)C(C(CC5=O)=O)=C5C=C/4)S3)=C2)C(S6)=CC7=C6C(C8=CC=C(CC(CCCC)CCCCCC)S8)=C(C=C(C9=C(CCCCCC)C%10=C(C=C(C%11=C(CCCCCC)C=C(/C=C%12C(F)C(C(CC%13=O)=O)=C%13C=C/%12)S%11)S%10)S9)S%14)C%14=C7C%15=CC=C(CC(CCCC)CCCCCC)S%15,10.4
40,CCCCCCCCC1=C(C2=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S2)SC(C2=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C4=C(C=C(C5=CC6=C(C7=CC=C(CC(CC)CCCC)S7)C7=C(C=C(C8=CC9=C(C%10=CC=C(CC(CC)CCCC)S%10)C%10=C(C=C(C%11CC(CCCCCCCC)=C(C%12=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S%12)S%11)S%10)C(C%10=CC=C(CC(CC)CCCC)S%10)=C9S8)S7)C(C7=CC=C(CC(CC)CCCC)S7)=C6S5)S4)C(C4=CC=C(CC(CC)CCCC)S4)=C3S2)=C1,10.4
41,CCCCC(CC)C1=CC=C(C2=C3C=C(/C=C4\SC(=S)N(CC)C4=O)SC3=C(C3=CC=C(C(CC)CCCC)S3)C3=C2SC(C2=C(C(CC)CCCC)C4=C(S2)C(C(CCC)CCCC)=C(C2=CC5=C(S2)C(C2=CC=C(C(CC)CCCC)S2)=C2C=C(/C=C6\SC(=S)N(CC)C6=O)SC2=C5C2=CC=C(C(CC)CCCC)S2)S4)=C3)S1,10.4
42,[H]C1=C(C2=CC3=C(S2)C(C2=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S2)=C2C=C(C4=C([H])C5=C(S4)C(CCCCCC)=C(C4=CC=C(/C=C6\C(=O)C7C=CC=C(F)C7C6=O)[Se]4)S5)SC2=C3C2=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S2)SC2=C1SC(C1=CC=C(/C=C3\C(=O)C4=CC=CC(F)=C4C3=O)[Se]1)=C2CCCCCC,10.3
43,O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC4=C(C=CC=C4)N3,10.28
44,CCCCCCCCC(CCCCCC)CN1N=C2C(=N1)C(C1=CC=C(C3=CC4=C(C5=CC(Cl)=C(CC(CC)CCCC)S5)C5=C(C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S8)C8=NN(CC(CC)CCCC)N=C87)S6)S5)C(C5=CC(Cl)=C(CC(CC)CCCC)S5)=C4S3)S1)=C(F)C(F)=C2C1=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S1,10.1
45,S=C(N(CC)C/1=O)SC1=C\C2=CC(CCCCCCCC)=C(C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C=C(C7=CC(CCCCCCCC)=C(C8=CC=C(C9=C(CCCCCCCC)C=C(C%10=CC%11=C(C(C%12=CC=C(CC(CCCC)CC)S%12)=C(C=C(C(S%13)=CC(CCCCCCCC)=C%13C%14=CC=C(S%14)C(S%15)=C(CCCCCCCC)C=C%15C(C%16=NSN=C%16%17)=CC%18=C%17C=C(C%19=NSN=C%19%18)C%20=CC(CCCCCCCC)=C(S%20)C(S%21)=CC=C%21C%22=C(CCCCCCCC)C=C(S%22)/C=C%23SC(N(CC)C/%23=O)=S)S%24)C%24=C%11C%25=CC=C(CC(CCCC)CC)S%25)S%10)S9)S8)S7)C%26=NSN=C%266)C%27=NSN=C5%27)S4)S3)S2,10.02
46,COC(C=C1OC)=CC=C1C(C=C2)=CC=C2N(C3=CC=C(C4=C(OC)C=C(OC)C=C4)C=C3)C5=CC=C(N(C6=CC=C(C7=C(OC)C=C(OC)C=C7)C=C6)C8=CC=C(C9=CC=C(OC)C=C9OC)C=C8)C%10=NSN=C%105,9.94
47,CCCCCCCCC1=C(SC(C(S2)=CC3=C2C(C4=CC(F)=C(CC(CC)CCCC)S4)=C5C(SC(C6=CC(CCCCCCCC)=C(S6)C7=CC=C(C8=C(CCCCCCCC)C=C(/C=C(SC(N9CC)=S)/C9=O)S8)S7)=C5)=C3C%10=CC(F)=C(CC(CC)CCCC)S%10)=C1)C%11=CC=C(C%12=C(CCCCCCCC)C=C(/C=C(SC(N%13CC)=S)/C%13=O)S%12)S%11,9.8
48,S=C(N(CC)C/1=O)SC1=C\C(S2)=CC3=C2C(C4=CC=C(CC(CC)CCCC)S4)=C(C=C(C5=CC6=C(C(C7=CC=C(CC(CC)CCCC)S7)=C(C=C(C8=CC9=C(C(C%10=CC=C(CC(CC)CCCC)S%10)=C(C=C(/C=C%11C(N(CC)C(S/%11)=S)=O)S%12)C%12=C9C%13=CC=C(CC(CC)CCCC)S%13)S8)S%14)C%14=C6C%15=CC=C(CC(CC)CCCC)S%15)S5)S%16)C%16=C3C%17=CC=C(CC(CC)CCCC)S%17,9.52
49,[H]C1=C(C2=CC=C(/C=C3\C(=O)C4=CC=CC(F)=C4C3=O)[Se]2)SC2=C1SC(C1=CC3=C(S1)C(C1=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S1)=C1C=C(C4=C(CCCCCC)C5=C(S4)C([H])=C(C4=CC=C(/C=C6\C(=O)C7C=CC=C(F)C7C6=O)[Se]4)S5)SC1=C3C1=CC=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)S1)=C2CCCCCC,9.4
50,CCCCCCCCC(C=C(C1=C(CCCCCCCC)C=C(/C=C2S/C(N(CC)C\2=O)=C(C#N)/C#N)S1)S3)=C3C4=CC=C(S4)C5=CC=C(C6=CC=C(C7=C(CCCCCCCC)C=C(C8=C(CCCCCCCC)C=C(/C=C9C(N(CC)/C(S/9)=C(C#N)\C#N)=O)S8)S7)S6)S5,9.3
