SMILES,PCE
CCCCCCCCOC1=C2C(C=CS2)=C(OCCCCCCCC)C3=C1C=C(C(S4)=CC=C4C5=CC=C6C7=CC=C(C8=CC=C(C9=CC%10=C(C(OCCCCCCCC)=C(C=CS%11)C%11=C%10OCCCCCCCC)S9)S8)C=C7C%12=NC(C)(C)N=C%12C6=C5)S3,0.28
CCCCCCC1=C(C2=C(CCCCCC)C=C(C3=CC=C(C4=CC=C(N5C(C=C(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)C=C9)=C9C%10=C5C=CC(C%11=CC=C(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11)=C%10)S4)S3)S2)SC(C%14=CC=C(C%15=CC=C(N%16C(C=C(C%17=CC=C(N(C%18=CC=CC=C%18)C%19=CC=CC=C%19)C=C%17)C=C%20)=C%20C%21=C%16C=CC(C%22=CC=C(N(C%23=CC=CC=C%23)C%24=CC=CC=C%24)C=C%22)=C%21)S%15)S%14)=C1,0.28
C1(C2=CC=C(C3=CC=C(N4C(C=CC(C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)=C8)=C8C9=C4C=CC(C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)=C9)S3)S2)=CC=C(N%13C(C=CC(C%14=CC=C(N(C%15=CC=CC=C%15)C%16=CC=CC=C%16)C=C%14)=C%17)=C%17C%18=C%13C=CC(C%19=CC=C(N(C%20=CC=CC=C%20)C%21=CC=CC=C%21)C=C%19)=C%18)S1,0.29
CCCCCCC1=C(C(S2)=CC=C2C3=C(CCCCCC)C=C(C4=CC=C(C5=CC=C(N6C(C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)C=C%10)=C%10C%11=C6C=CC(C%12=CC=C(N(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C%12)=C%11)S5)S4)S3)SC(C%15=CC=C(C%16=CC=C(N%17C(C=C(C%18=CC=C(N(C%19=CC=CC=C%19)C%20=CC=CC=C%20)C=C%18)C=C%21)=C%21C%22=C%17C=CC(C%23=CC=C(N(C%24=CC=CC=C%24)C%25=CC=CC=C%25)C=C%23)=C%22)S%16)S%15)=C1,0.29
O=C1N(CC(CC)CCCO)C(C2=CC=C(C3=CC=C(C(F)(F)F)C=C3)S2)=C4C(N(CC(CC)CCCO)C(C5=CC=C(C6=CC=C(C(F)(F)F)C=C6)S5)=C41)=O,0.3
CCCCCCN1C2=C(C=C(C3=C(CCCCCC)C=C(C4=CC=C(C5=CC=C(/C=C(C(O)=O)\C#N)S5)S4)S3)C=C2)C6=C1C=CC(C7=C(CCCCCC)C=C(C8=CC=C(C9=CC=C(/C=C(C(O)=O)\C#N)S9)S8)S7)=C6,0.31
O=C1N(CC(OCC(CCCC)CC)=O)C(C2=CC=C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C=C2)=C6C1=C(C7=CC=CC=C7)N(CC(OCC(CCCC)CC)=O)C6=O,0.32
C1(C2=CC=C(S2)C3=CC=C(C4=CC=C(N5C(C=C(C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)C=C9)=C9C%10=C5C=CC(C%11=CC=C(N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)C=C%11)=C%10)S4)S3)=CC=C(C(S%14)=CC=C%14C%15=CC=C(C%16=CC=C(N%17C(C=C(C%18=CC=C(N(C%19=CC=CC=C%19)C%20=CC=CC=C%20)C=C%18)C=C%21)=C%21C%22=C%17C=CC(C%23=CC=C(N(C%24=CC=CC=C%24)C%25=CC=CC=C%25)C=C%23)=C%22)S%16)S%15)C%26=NSN=C1%26,0.32
CC(C=C1)=CC=C1N(C2=CC=C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=C(C)C=C5)C=C3)C=C2)C(C=C6)=CC=C6C(CC7)SC7C(CC8)SC8C9=CC%10=C(C=C9)C%11=CC=C(C)C=C%11C%10(CCCCCCCC)CCCCCCCC.CC.CC,0.33
C/C(/C=C/C=C(C)/C=C/C=C(C)/C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\CC/C=C(C)/C,0.33
CCCCCCC1=C(C2=CC=C(C(S3)=C(CCCCCC)C=C3C4=CC(CCCCCC)=C(C5=CC=C(C(S6)=C(CCCCCC)C=C6C7=CC(CCCCCC)=C(C8=CC=C(C(S9)=C(CCCCCC)C=C9C%10=CC(CCCCCC)=C(C%11=CC=C(C(S%12)=C(CCCCCC)C=C%12C%13=CC(CCCCCC)=C(C%14=CC=C(C)S%14)S%13)S%11)S%10)S8)S7)S5)S4)S2)SC(C%15=CC(CCCCCC)=C(C%16=CC=C(C%17=C(CCCCCC)C(C(C%18=CC(C(SC(C)=C%19CCCCCC)=C%19C%20=O)=C%20C=C%18%21)=O)=C%21S%17)S%16)S%15)=C1,0.33
CCCCC(CC)CC(S1)=CC=C1C2=C(SC(C3=C(C(N(CC(CC)CCCC)C4=O)=O)C4=CS3)=C2)C(S5)=CC6=C5C7=CC=C(C=C(C8=C(C9=CC=C(CC(CC)CCCC)S9)C=C(C%10=C(C(N(CC(CC)CCCC)C%11=O)=O)C%11=CS%10)S8)S%12)C%12=C7C=C6,0.33
CCCCCCC1=C(C2=CC=CS2)SC(C3=CC=C(S3)/C=C/C4=CC(C(C#N)C#N)C=C(/C=C/C5=CC=C(C6=C(CCCCCC)C(CCCCCC)=C(C7=CC=CS7)S6)S5)O4)=C1CCCCCC,0.34
C12=CC3=C(C4=CC=CC=C4)C5=CC6=CC=CC=C6C=C5C(C7=CC=CC=C7)=C3C=C1C=CC=C2,0.35
C1(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=CC=C(/C=C/C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)C8=NSN=C18,0.35
CCCCCCCCC(C=C(C1=C(CCCCCCCC)C=C(C2=C(CCCCCCCC)C=C(/C=C(C(N3CC)=O)\C(N(CC)C3=S)=O)S2)S1)S4)=C4C5=CC=C(C6=C(CCCCCCCC)C=C(C7=C(CCCCCCCC)C=C(C8=C(CCCCCCCC)C=C(/C=C(C(N9CC)=O)\C(N(CC)C9=S)=O)S8)S7)S6)S5,0.36
CCCCCCC1=C(C2=CC3=C(C(C4=CC=C(CCCCCC)S4)=C(C=C(C5=C(CCCCCC)C=C(C6=CC=CC7=NSN=C76)S5)S8)C8=C3C9=CC=C(CCCCCC)S9)S2)SC(C%10=CC=CC%11=NSN=C%11%10)=C1,0.37
N(C1=CC=C(C2=CC=C3C=CC=CC3=C2)C=C1)(C4=CC=C(C5=CC=C6C=CC=CC6=C5)C=C4)C7=CC=C(C8=CC=C9C=CC=CC9=C8)C=C7,0.39
CCC(CCCC)CN(C1)C(C(C=C2)=CC=C2C3=CC=C(C4=NC(C5=CC=C(C6=CC=C(C(N(CC(CCCC)CC)C7)=C8C7=C(C(C=C9)=CC=C9C%10=CC=C(N%11C%12=CC=C(C(C)(C)C)C=C%12C%13=C%11C=CC(C(C)(C)C)=C%13)C=C%10)N(CC(CCCC)CC)C8)C=C6)C=C5)=NC(C%14=CC=C(C%15=CC=C(C(N(CC(CCCC)CC)C%16)=C%17C%16=C(C%18=CC=C(C%19=CC=C(N(C%20=CC=C(C(C)(C)C)C=C%20%21)C%22=C%21C=C(C(C)(C)C)C=C%22)C=C%19)C=C%18)N(CC(CCCC)CC)C%17)C=C%15)C=C%14)=N4)C=C3)=C%23C1=C(C%24=CC=C(C%25=CC=C(N%26C%27=CC=C(C(C)(C)C)C=C%27C%28=C%26C=CC(C(C)(C)C)=C%28)C=C%25)C=C%24)N(CC(CCCC)CC)C%23,0.39
O=C1N(CC(CC)CCCC)C(C2=CC=C(C3=CC4=C(C(OCC(CC)CCCC)=C(C=CS5)C5=C4OCC(CC)CCCC)S3)S2)=C(C6=O)C1=C(N6CC(CC)CCCC)C7=CC=CS7,0.4
FC(C=C1)=CC=C1/C(C#N)=C/C(C=C2)=CC3=C2N(CCCCC)C4=C3C=C(/C=C(C#N)/C5=CC=C(F)C=C5)C=C4,0.4
